number,name,site,longitude,latitude,type,sample.mg,peak.area,calibrat.equation_ug.mL,ug.mg,ng.mg,pg.mg
1,R05L,R05,-97.979988,27.238986,leaf,21.1,10667.77,3.20033E-05,1.51674E-06,0.001516745,1.51674455
2,R02L,R02,-97.99355,27.246428,leaf,20.6,88052,0.000264156,1.28231E-05,0.012823107,12.8231068
3,O02L,O02,-97.932938,27.140731,leaf,20.5,10132.63,3.03979E-05,1.48282E-06,0.001482824,1.482823902
4,WSE4L,WSE4,-97.954485,27.128751,leaf,21.1,16749.64,5.02489E-05,2.38147E-06,0.002381465,2.381465403
5,O04L,O04,-97.941584,27.134883,leaf,21.4,46646.14,0.000139938,6.53918E-06,0.006539179,6.539178505
6,R03L,R03,-97.980702,27.222852,leaf,20.4,14004.38,4.20131E-05,2.05947E-06,0.002059468,2.059467647
7,E01L,E01,-97.957541,27.129611,leaf,20.1,25116.99,7.5351E-05,3.7488E-06,0.003748804,3.748804478
8,O01L,O01,-97.954784,27.156785,leaf,20.2,12554.6,3.76638E-05,1.86454E-06,0.001864545,1.864544554
9,R05-2L,R05,-97.979988,27.238986,leaf,19.5,24793.25,7.43798E-05,3.81435E-06,0.003814346,3.814346154
10,O01-2L,O01,-97.954784,27.156785,leaf,20.6,13322.41,3.99672E-05,1.94016E-06,0.001940157,1.940156796
11,E03L,E03,-97.963721,27.131277,leaf,19.4,23867.86,7.16036E-05,3.69091E-06,0.003690906,3.690906186
12,M04L,M04,-97.983074,27.20209,leaf,21.7,9700.11,2.91003E-05,1.34103E-06,0.001341029,1.341029032
13,M04r,M04,-97.983074,27.20209,root,21,41834.53,0.000125504,5.97636E-06,0.005976361,5.976361429
14,R05r,R05,-97.979988,27.238986,root,21.6,38908.98,0.000116727,5.40403E-06,0.005404025,5.404025
15,R02r,R02,-97.99355,27.246428,root,19.6,404781.84,0.001214346,6.19564E-05,0.061956404,61.95640408
16,O04r,O04,-97.941584,27.134883,root,19.1,31070.41,9.32112E-05,4.88017E-06,0.004880169,4.88016911
17,R03r,R03,-97.980702,27.222852,root,21.4,39665.7,0.000118997,5.56061E-06,0.005560612,5.56061215
18,O02r,O02,-97.932938,27.140731,root,20.3,36637.86,0.000109914,5.41446E-06,0.005414462,5.414462069
19,R04r,R04,-97.964578,27.225587,root,21,25023.34,7.507E-05,3.57476E-06,0.003574763,3.574762857
20,O01-2r,O01,-97.954784,27.156785,root,21.4,41674.74,0.000125024,5.84225E-06,0.005842253,5.842253271
21,E03r,E03,-97.963721,27.131277,root,21.7,135226.18,0.000405679,1.86949E-05,0.018694864,18.69486359
22,O01r,R02,-97.954784,27.156785,root,20.6,21953.28,6.58598E-05,3.19708E-06,0.00319708,3.197079612
23,R01r,R01,-97.963187,27.248167,root,20,47174.25,0.000141523,7.07614E-06,0.007076138,7.0761375
24,E01r,E01,-97.957541,27.129611,root,20.3,28375.59,8.51268E-05,4.19344E-06,0.004193437,4.193436946
25,WSE4r,WSE4,-97.954485,27.128751,root,22.2,20949.19,6.28476E-05,2.83097E-06,0.002830972,2.830971622
26,R04L,R04,-97.964578,27.225587,leaf,21.2,5135.95,1.54079E-05,7.2679E-07,0.000726785,0.726785377
27,M04t,M04,-97.983074,27.20209,litter,20.1,11720.76,3.51623E-05,1.74937E-06,0.001749367,1.749367164
28,O04t,O04,-97.941584,27.134883,litter,21.1,41931.68,0.000125795,5.96185E-06,0.00596185,5.961850237
29,R03t,R03,-97.980702,27.222852,litter,21.2,26358.69,7.90761E-05,0.00000373,0.003730003,3.730003302
30,E03t,E03,-97.963721,27.131277,litter,20,26338.95,7.90169E-05,3.95084E-06,0.003950843,3.9508425
31,O01-2t,O01,-97.954784,27.156785,litter,20.7,17577.82,5.27335E-05,2.54751E-06,0.00254751,2.547510145
32,R01t,R01,-97.963187,27.248167,litter,20.2,18269.55,5.48087E-05,2.7133E-06,0.0027133,2.713299505
33,R02t,R02,-97.99355,27.246428,litter,21.4,221200.11,0.0006636,3.10094E-05,0.031009361,31.00936121
34,E01t,E01,-97.957541,27.129611,litter,20.3,42884.22,0.000128653,6.33757E-06,0.006337569,6.337569458
35,R05t,R05,-97.979988,27.238986,litter,20,23945.71,7.18371E-05,3.59186E-06,0.003591857,3.5918565
36,WSE4t,WSE4,-97.954485,27.128751,litter,20.9,22603.73,6.78112E-05,3.24455E-06,0.003244555,3.244554545
37,R04t,R04,-97.964578,27.225587,litter,20.7,54800.35,0.000164401,7.94208E-06,0.00794208,7.94207971
38,O01t,O01,-97.954784,27.156785,litter,20.8,16112.06,4.83362E-05,2.32385E-06,0.002323855,2.323854808
39,R02s,R02,-97.99355,27.246428,soil,90.4,58415.2,0.000175246,1.93856E-06,0.001938558,1.938557522
40,O04s,O04,-97.941584,27.134883,soil,100.1,19815.42,5.94463E-05,5.9387E-07,0.000593869,0.593868731
41,R04s,R04,-97.964578,27.225587,soil,91.6,14834.09,4.45023E-05,4.8583E-07,0.000485833,0.485832642
42,O01s,O01,-97.954784,27.156785,soil,98.2,12202.73,3.66082E-05,3.7279E-07,0.000372792,0.372792159
43,WSE4s,WSE4,-97.954485,27.128751,soil,99,22797.89,6.83937E-05,6.9085E-07,0.000690845,0.690845152
44,R01s,R01,-97.963187,27.248167,soil,90.7,18202.81,5.46084E-05,6.0208E-07,0.000602078,0.602077508
45,R03s,R03,-97.980702,27.222852,soil,94.3,16673.46,5.00204E-05,5.3044E-07,0.000530439,0.530438812
46,R05s,R05,-97.979988,27.238986,soil,98.4,22690.67,6.8072E-05,6.9179E-07,0.000691789,0.69178872
47,E03s,E03,-97.963721,27.131277,soil,96,10352.84,3.10585E-05,3.2353E-07,0.000323526,0.32352625
