species,chemical,shade,tissue,AVG,AVGadj,logAVG,logAVGadj,SE,logSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
X.texanum,crude,shade,below,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,above,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,total,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,root.shoot,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,below,1.063636364,1.063636364,0.314633172,0.314633172,0.228541911,0.089389977,1.3,0.1,0.2,2.7,1.6,1.5,0.2,1.3,1,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,above,6.518181818,7.581818182,0.876112824,1.190745996,0.817848417,0.259557666,4.8,7,3.7,10.5,4.8,9.9,4,5.2,7.3,10.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,total,7.581818182,,0.933579309,,0.952204923,0.290525404,6.1,7.1,3.9,13.2,6.4,11.4,4.2,6.5,8.3,11.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,root.shoot,0.166711422,,0.066963449,,0.032358222,0.013830421,0.270833333,0.014285714,0.054054054,0.257142857,0.333333333,0.151515152,0.05,0.25,0.136986301,0.08490566,0.230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,below,1.226666667,1.226666667,0.347655208,0.347655208,0.103272136,0.04268265,0.9,0.8,1.4,1.6,2.1,2,1.6,2,0.7,1.2,1.7,1.8,0.1,1.6,1.6,1.3,1.4,2.2,1.1,1.3,0.1,0.1,1,1.1,1.1,1.4,0.6,1.3,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,above,1.233333333,2.46,0.348953548,0.696608756,0.125883848,0.051493589,0.8,2.4,1.6,1.4,1.3,1.3,2.4,2.5,1,2.2,2.5,1.9,0.9,1.7,2.1,0.9,0.7,1.4,0.9,1.2,0.5,0.7,0.5,0.5,0.5,0.7,0.7,0.4,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,total,2.46,,0.539076099,,0.199170694,0.078881007,1.7,3.2,3,3,3.4,3.3,4,4.5,1.7,3.4,4.2,3.7,1,3.3,3.7,2.2,2.1,3.6,2,2.5,0.6,0.8,1.5,1.6,1.6,2.1,1.3,1.7,1.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,root.shoot,1.195171573,,0.34146847,,0.132843092,0.054169761,1.125,0.333333333,0.875,1.142857143,1.615384615,1.538461538,0.666666667,0.8,0.7,0.545454546,0.68,0.947368421,0.111111111,0.941176471,0.761904762,1.444444444,2,1.571428571,1.222222222,1.083333333,0.2,0.142857143,2,2.2,2.2,2,0.857142857,3.25,2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,below,1.192307692,1.192307692,0.340901508,0.340901508,0.207692308,0.0819563,0.8,1.1,1.1,2,0.1,2.9,0.5,1.5,1.6,1.1,0.3,1.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,above,2.646153846,3.838461538,0.561834989,0.902736497,0.479130541,0.170006504,2.2,2.2,1.2,6.9,3.1,5.5,3.1,1.9,1.5,2.2,0.8,1.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,total,3.838461538,,0.684707293,,0.618987849,0.209243589,3,3.3,2.3,8.9,3.2,8.4,3.6,3.4,3.1,3.3,1.1,3.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,root.shoot,0.530143651,,0.184732205,,0.086937759,0.036204676,0.363636364,0.5,0.916666667,0.289855073,0.032258065,0.527272727,0.161290323,0.789473684,1.066666667,0.5,0.375,0.941176471,0.428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,below,0.811111111,0.811111111,0.257945095,0.257945095,0.175945418,0.070387164,0.1,0.8,1.1,1.2,1.9,0.6,0.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,above,0.833333333,1.644444444,0.263241435,0.52118653,0.155456318,0.062753531,0.2,0.6,1.2,0.7,1.6,1.4,0.5,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,total,1.644444444,,0.422334448,,0.308270764,0.116697636,0.3,1.4,2.3,1.9,3.5,2,0.9,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,root.shoot,0.981150794,,0.296917533,,0.138406049,0.056297195,0.5,1.333333333,0.916666667,1.714285714,1.1875,0.428571429,0.8,0.75,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
