entry ,species,chemical,light,tissue,mass,log.mass
1,X.texanum,crude,shade,below,0,0
2,X.texanum,crude,shade,above,0,0
3,X.texanum,crude,shade,total,0,0
4,X.texanum,crude,shade,root.shoot,0,0
5,C.fasciculata,crude,shade,below,1.3,0.832909123
6,C.fasciculata,crude,shade,above,4.8,1.757857918
7,C.fasciculata,crude,shade,total,6.1,1.960094784
8,C.fasciculata,crude,shade,root.shoot,0.270833333,0.239672853
9,S.scheelei,crude,shade,below,0.9,0.641853886
10,S.scheelei,crude,shade,above,0.8,0.587786665
11,S.scheelei,crude,shade,total,1.7,0.993251773
12,S.scheelei,crude,shade,root.shoot,1.125,0.753771802
13,M.maximus,crude,shade,below,0.8,0.587786665
14,M.maximus,crude,shade,above,2.2,1.16315081
15,M.maximus,crude,shade,total,3,1.386294361
16,M.maximus,crude,shade,root.shoot,0.363636364,0.310154929
17,X.texanum,standard,shade,below,0.1,0.09531018
18,X.texanum,standard,shade,above,0.2,0.182321557
19,X.texanum,standard,shade,total,0.3,0.262364264
20,X.texanum,standard,shade,root.shoot,0.5,0.405465108
21,C.fasciculata,standard,shade,below,0.1,0.09531018
22,C.fasciculata,standard,shade,above,5.9,1.931521412
23,C.fasciculata,standard,shade,total,6,1.945910149
24,C.fasciculata,standard,shade,root.shoot,0.016949153,0.016807119
25,S.scheelei,standard,shade,below,1.8,1.029619417
26,S.scheelei,standard,shade,above,1.6,0.955511445
27,S.scheelei,standard,shade,total,3.4,1.481604541
28,S.scheelei,standard,shade,root.shoot,1.125,0.753771802
29,M.maximus,standard,shade,below,1.3,0.832909123
30,M.maximus,standard,shade,above,7.7,2.163323026
31,M.maximus,standard,shade,total,9,2.302585093
32,M.maximus,standard,shade,root.shoot,0.168831169,0.156004249
33,X.texanum,none,shade,below,0.5,0.405465108
34,X.texanum,none,shade,above,0.8,0.587786665
35,X.texanum,none,shade,total,1.3,0.832909123
36,X.texanum,none,shade,root.shoot,0.625,0.485507816
37,C.fasciculata,none,shade,below,1.8,1.029619417
38,C.fasciculata,none,shade,above,8,2.197224577
39,C.fasciculata,none,shade,total,9.8,2.379546134
40,C.fasciculata,none,shade,root.shoot,0.225,0.202940844
41,S.scheelei,none,shade,below,1.1,0.741937345
42,S.scheelei,none,shade,above,1.5,0.916290732
43,S.scheelei,none,shade,total,2.6,1.280933845
44,S.scheelei,none,shade,root.shoot,0.733333333,0.550046337
45,M.maximus,none,shade,below,8,2.197224577
46,M.maximus,none,shade,above,9,2.302585093
47,M.maximus,none,shade,total,17,2.890371758
48,M.maximus,none,shade,root.shoot,0.888888889,0.635988767
49,X.texanum,crude,open,below,0,0
50,X.texanum,crude,open,above,0,0
51,X.texanum,crude,open,total,0,0
52,X.texanum,crude,open,root.shoot,0,0
53,C.fasciculata,crude,open,below,17,2.890371758
54,C.fasciculata,crude,open,above,49,3.912023005
55,C.fasciculata,crude,open,total,66,4.204692619
56,C.fasciculata,crude,open,root.shoot,0.346938776,0.297834444
57,S.scheelei,crude,open,below,21,3.091042453
58,S.scheelei,crude,open,above,21,3.091042453
59,S.scheelei,crude,open,total,42,3.761200116
60,S.scheelei,crude,open,root.shoot,1,0.693147181
61,M.maximus,crude,open,below,57,4.060443011
62,M.maximus,crude,open,above,82,4.418840608
63,M.maximus,crude,open,total,139,4.941642423
64,M.maximus,crude,open,root.shoot,0.695121951,0.527754686
65,X.texanum,standard,open,below,3,1.386294361
66,X.texanum,standard,open,above,5.4,1.85629799
67,X.texanum,standard,open,total,8.4,2.240709689
68,X.texanum,standard,open,root.shoot,0.555555556,0.441832753
69,C.fasciculata,standard,open,below,63,4.158883083
70,C.fasciculata,standard,open,above,98,4.59511985
71,C.fasciculata,standard,open,total,161,5.087596335
72,C.fasciculata,standard,open,root.shoot,0.642857143,0.496436886
73,S.scheelei,standard,open,below,24,3.218875825
74,S.scheelei,standard,open,above,36,3.610917913
75,S.scheelei,standard,open,total,60,4.110873864
76,S.scheelei,standard,open,root.shoot,0.666666667,0.510825624
77,M.maximus,standard,open,below,151,5.023880521
78,M.maximus,standard,open,above,117,4.770684624
79,M.maximus,standard,open,total,268,5.59471138
80,M.maximus,standard,open,root.shoot,1.290598291,0.828813046
81,X.texanum,none,open,below,9.5,2.351375257
82,X.texanum,none,open,above,6.9,2.066862759
83,X.texanum,none,open,total,16.4,2.856470206
84,X.texanum,none,open,root.shoot,1.376811594,0.865759923
85,C.fasciculata,none,open,below,10,2.397895273
86,C.fasciculata,none,open,above,20,3.044522438
87,C.fasciculata,none,open,total,30,3.433987204
88,C.fasciculata,none,open,root.shoot,0.5,0.405465108
89,S.scheelei,none,open,below,20,3.044522438
90,S.scheelei,none,open,above,75,4.33073334
91,S.scheelei,none,open,total,95,4.564348191
92,S.scheelei,none,open,root.shoot,0.266666667,0.236388778
93,M.maximus,none,open,below,51,3.951243719
94,M.maximus,none,open,above,86,4.465908119
95,M.maximus,none,open,total,137,4.927253685
96,M.maximus,none,open,root.shoot,0.593023256,0.46563363
97,X.texanum,crude,shade,below,0,0
98,X.texanum,crude,shade,above,0,0
99,X.texanum,crude,shade,total,0,0
100,X.texanum,crude,shade,root.shoot,0,0
101,C.fasciculata,crude,shade,below,0.1,0.09531018
102,C.fasciculata,crude,shade,above,7,2.079441542
103,C.fasciculata,crude,shade,total,7.1,2.091864062
104,C.fasciculata,crude,shade,root.shoot,0.014285714,0.014184635
105,S.scheelei,crude,shade,below,0.8,0.587786665
106,S.scheelei,crude,shade,above,2.4,1.223775432
107,S.scheelei,crude,shade,total,3.2,1.435084525
108,S.scheelei,crude,shade,root.shoot,0.333333333,0.287682072
109,M.maximus,crude,shade,below,1.1,0.741937345
110,M.maximus,crude,shade,above,2.2,1.16315081
111,M.maximus,crude,shade,total,3.3,1.458615023
112,M.maximus,crude,shade,root.shoot,0.5,0.405465108
113,X.texanum,standard,shade,below,0.8,0.587786665
114,X.texanum,standard,shade,above,0.6,0.470003629
115,X.texanum,standard,shade,total,1.4,0.875468737
116,X.texanum,standard,shade,root.shoot,1.333333333,0.84729786
117,C.fasciculata,standard,shade,below,1.5,0.916290732
118,C.fasciculata,standard,shade,above,7.3,2.116255515
119,C.fasciculata,standard,shade,total,8.8,2.282382386
120,C.fasciculata,standard,shade,root.shoot,0.205479452,0.186877373
121,S.scheelei,standard,shade,below,0.3,0.262364264
122,S.scheelei,standard,shade,above,0.9,0.641853886
123,S.scheelei,standard,shade,total,1.2,0.78845736
124,S.scheelei,standard,shade,root.shoot,0.333333333,0.287682072
125,M.maximus,standard,shade,below,0.7,0.530628251
126,M.maximus,standard,shade,above,1.4,0.875468737
127,M.maximus,standard,shade,total,2.1,1.131402111
128,M.maximus,standard,shade,root.shoot,0.5,0.405465108
129,X.texanum,none,shade,below,1.5,0.916290732
130,X.texanum,none,shade,above,0.5,0.405465108
131,X.texanum,none,shade,total,2,1.098612289
132,X.texanum,none,shade,root.shoot,3,1.386294361
133,C.fasciculata,none,shade,below,0.8,0.587786665
134,C.fasciculata,none,shade,above,5.4,1.85629799
135,C.fasciculata,none,shade,total,6.2,1.974081026
136,C.fasciculata,none,shade,root.shoot,0.148148148,0.138150338
137,S.scheelei,none,shade,below,0.9,0.641853886
138,S.scheelei,none,shade,above,1.9,1.064710737
139,S.scheelei,none,shade,total,2.8,1.335001067
140,S.scheelei,none,shade,root.shoot,0.473684211,0.387765531
141,M.maximus,none,shade,below,10,2.397895273
142,M.maximus,none,shade,above,23,3.17805383
143,M.maximus,none,shade,total,33,3.526360525
144,M.maximus,none,shade,root.shoot,0.434782609,0.361013346
145,X.texanum,crude,open,below,0,0
146,X.texanum,crude,open,above,0,0
147,X.texanum,crude,open,total,0,0
148,X.texanum,crude,open,root.shoot,0,0
149,C.fasciculata,crude,open,below,20,3.044522438
150,C.fasciculata,crude,open,above,46,3.850147602
151,C.fasciculata,crude,open,total,66,4.204692619
152,C.fasciculata,crude,open,root.shoot,0.434782609,0.361013346
153,S.scheelei,crude,open,below,23,3.17805383
154,S.scheelei,crude,open,above,19,2.995732274
155,S.scheelei,crude,open,total,42,3.761200116
156,S.scheelei,crude,open,root.shoot,1.210526316,0.793230639
157,M.maximus,crude,open,below,29,3.401197382
158,M.maximus,crude,open,above,38,3.663561646
159,M.maximus,crude,open,total,67,4.219507705
160,M.maximus,crude,open,root.shoot,0.763157895,0.56710646
161,X.texanum,standard,open,below,3.8,1.568615918
162,X.texanum,standard,open,above,5.1,1.808288771
163,X.texanum,standard,open,total,8.9,2.292534757
164,X.texanum,standard,open,root.shoot,0.745098039,0.556810737
165,C.fasciculata,standard,open,below,29,3.401197382
166,C.fasciculata,standard,open,above,101,4.624972813
167,C.fasciculata,standard,open,total,130,4.875197323
168,C.fasciculata,standard,open,root.shoot,0.287128713,0.252413934
169,S.scheelei,standard,open,below,1,0.693147181
170,S.scheelei,standard,open,above,3,1.386294361
171,S.scheelei,standard,open,total,4,1.609437912
172,S.scheelei,standard,open,root.shoot,0.333333333,0.287682072
173,M.maximus,standard,open,below,90,4.510859507
174,M.maximus,standard,open,above,331,5.805134969
175,M.maximus,standard,open,total,421,6.045005314
176,M.maximus,standard,open,root.shoot,0.271903323,0.240514458
177,X.texanum,none,open,below,0.4,0.336472237
178,X.texanum,none,open,above,1.4,0.875468737
179,X.texanum,none,open,total,1.8,1.029619417
180,X.texanum,none,open,root.shoot,0.285714286,0.251314429
181,C.fasciculata,none,open,below,10,2.397895273
182,C.fasciculata,none,open,above,22,3.135494216
183,C.fasciculata,none,open,total,32,3.496507561
184,C.fasciculata,none,open,root.shoot,0.454545455,0.37469345
185,S.scheelei,none,open,below,38,3.663561646
186,S.scheelei,none,open,above,44,3.80666249
187,S.scheelei,none,open,total,82,4.418840608
188,S.scheelei,none,open,root.shoot,0.863636364,0.622529614
189,M.maximus,none,open,below,75,4.33073334
190,M.maximus,none,open,above,125,4.836281907
191,M.maximus,none,open,total,200,5.303304908
192,M.maximus,none,open,root.shoot,0.6,0.470003629
193,X.texanum,crude,shade,below,NA,NA
194,X.texanum,crude,shade,above,NA,NA
195,X.texanum,crude,shade,total,NA,NA
196,X.texanum,crude,shade,root.shoot,NA,NA
197,C.fasciculata,crude,shade,below,0.2,0.182321557
198,C.fasciculata,crude,shade,above,3.7,1.547562509
199,C.fasciculata,crude,shade,total,3.9,1.589235205
200,C.fasciculata,crude,shade,root.shoot,0.054054054,0.052643733
201,S.scheelei,crude,shade,below,1.4,0.875468737
202,S.scheelei,crude,shade,above,1.6,0.955511445
203,S.scheelei,crude,shade,total,3,1.386294361
204,S.scheelei,crude,shade,root.shoot,0.875,0.628608659
205,M.maximus,crude,shade,below,1.1,0.741937345
206,M.maximus,crude,shade,above,1.2,0.78845736
207,M.maximus,crude,shade,total,2.3,1.193922468
208,M.maximus,crude,shade,root.shoot,0.916666667,0.650587566
209,X.texanum,standard,shade,below,1.1,0.741937345
210,X.texanum,standard,shade,above,1.2,0.78845736
211,X.texanum,standard,shade,total,2.3,1.193922468
212,X.texanum,standard,shade,root.shoot,0.916666667,0.650587566
213,C.fasciculata,standard,shade,below,2.7,1.30833282
214,C.fasciculata,standard,shade,above,7,2.079441542
215,C.fasciculata,standard,shade,total,9.7,2.370243741
216,C.fasciculata,standard,shade,root.shoot,0.385714286,0.326215737
217,S.scheelei,standard,shade,below,1.1,0.741937345
218,S.scheelei,standard,shade,above,2.8,1.335001067
219,S.scheelei,standard,shade,total,3.9,1.589235205
220,S.scheelei,standard,shade,root.shoot,0.392857143,0.331357136
221,M.maximus,standard,shade,below,0.7,0.530628251
222,M.maximus,standard,shade,above,0.9,0.641853886
223,M.maximus,standard,shade,total,1.6,0.955511445
224,M.maximus,standard,shade,root.shoot,0.777777778,0.575364145
225,X.texanum,none,shade,below,0.5,0.405465108
226,X.texanum,none,shade,above,0.7,0.530628251
227,X.texanum,none,shade,total,1.2,0.78845736
228,X.texanum,none,shade,root.shoot,0.714285714,0.538996501
229,C.fasciculata,none,shade,below,0.9,0.641853886
230,C.fasciculata,none,shade,above,6,1.945910149
231,C.fasciculata,none,shade,total,6.9,2.066862759
232,C.fasciculata,none,shade,root.shoot,0.15,0.139761942
233,S.scheelei,none,shade,below,1.6,0.955511445
234,S.scheelei,none,shade,above,2.3,1.193922468
235,S.scheelei,none,shade,total,3.9,1.589235205
236,S.scheelei,none,shade,root.shoot,0.695652174,0.52806743
237,M.maximus,none,shade,below,8,2.197224577
238,M.maximus,none,shade,above,25,3.258096538
239,M.maximus,none,shade,total,33,3.526360525
240,M.maximus,none,shade,root.shoot,0.32,0.277631737
241,X.texanum,crude,open,below,NA,NA
242,X.texanum,crude,open,above,NA,NA
243,X.texanum,crude,open,total,NA,NA
244,X.texanum,crude,open,root.shoot,NA,NA
245,C.fasciculata,crude,open,below,10,2.397895273
246,C.fasciculata,crude,open,above,40,3.713572067
247,C.fasciculata,crude,open,total,50,3.931825633
248,C.fasciculata,crude,open,root.shoot,0.25,0.223143551
249,S.scheelei,crude,open,below,10,2.397895273
250,S.scheelei,crude,open,above,13,2.63905733
251,S.scheelei,crude,open,total,23,3.17805383
252,S.scheelei,crude,open,root.shoot,0.769230769,0.570544858
253,M.maximus,crude,open,below,32,3.496507561
254,M.maximus,crude,open,above,101,4.624972813
255,M.maximus,crude,open,total,133,4.8978398
256,M.maximus,crude,open,root.shoot,0.316831683,0.275228611
257,X.texanum,standard,open,below,1.9,1.064710737
258,X.texanum,standard,open,above,1.5,0.916290732
259,X.texanum,standard,open,total,3.4,1.481604541
260,X.texanum,standard,open,root.shoot,1.266666667,0.818310324
261,C.fasciculata,standard,open,below,23,3.17805383
262,C.fasciculata,standard,open,above,47,3.871201011
263,C.fasciculata,standard,open,total,70,4.262679877
264,C.fasciculata,standard,open,root.shoot,0.489361702,0.39834764
265,S.scheelei,standard,open,below,23,3.17805383
266,S.scheelei,standard,open,above,51,3.951243719
267,S.scheelei,standard,open,total,74,4.317488114
268,S.scheelei,standard,open,root.shoot,0.450980392,0.37223946
269,M.maximus,standard,open,below,136,4.919980926
270,M.maximus,standard,open,above,114,4.744932128
271,M.maximus,standard,open,total,250,5.525452939
272,M.maximus,standard,open,root.shoot,1.192982456,0.785262469
273,X.texanum,none,open,below,0.4,0.336472237
274,X.texanum,none,open,above,1.3,0.832909123
275,X.texanum,none,open,total,1.7,0.993251773
276,X.texanum,none,open,root.shoot,0.307692308,0.268263987
277,C.fasciculata,none,open,below,29,3.401197382
278,C.fasciculata,none,open,above,112,4.727387819
279,C.fasciculata,none,open,total,141,4.955827058
280,C.fasciculata,none,open,root.shoot,0.258928571,0.230261019
281,S.scheelei,none,open,below,26,3.295836866
282,S.scheelei,none,open,above,25,3.258096538
283,S.scheelei,none,open,total,51,3.951243719
284,S.scheelei,none,open,root.shoot,1.04,0.712949808
285,M.maximus,none,open,below,96,4.574710979
286,M.maximus,none,open,above,137,4.927253685
287,M.maximus,none,open,total,233,5.455321115
288,M.maximus,none,open,root.shoot,0.700729927,0.531057528
289,X.texanum,crude,shade,below,NA,NA
290,X.texanum,crude,shade,above,NA,NA
291,X.texanum,crude,shade,total,NA,NA
292,X.texanum,crude,shade,root.shoot,NA,NA
293,C.fasciculata,crude,shade,below,2.7,1.30833282
294,C.fasciculata,crude,shade,above,10.5,2.442347035
295,C.fasciculata,crude,shade,total,13.2,2.653241965
296,C.fasciculata,crude,shade,root.shoot,0.257142857,0.228841572
297,S.scheelei,crude,shade,below,1.6,0.955511445
298,S.scheelei,crude,shade,above,1.4,0.875468737
299,S.scheelei,crude,shade,total,3,1.386294361
300,S.scheelei,crude,shade,root.shoot,1.142857143,0.762140052
301,M.maximus,crude,shade,below,2,1.098612289
302,M.maximus,crude,shade,above,6.9,2.066862759
303,M.maximus,crude,shade,total,8.9,2.292534757
304,M.maximus,crude,shade,root.shoot,0.289855073,0.254529866
305,X.texanum,standard,shade,below,1.2,0.78845736
306,X.texanum,standard,shade,above,0.7,0.530628251
307,X.texanum,standard,shade,total,1.9,1.064710737
308,X.texanum,standard,shade,root.shoot,1.714285714,0.99852883
309,C.fasciculata,standard,shade,below,2.3,1.193922468
310,C.fasciculata,standard,shade,above,7.9,2.186051277
311,C.fasciculata,standard,shade,total,10.2,2.415913778
312,C.fasciculata,standard,shade,root.shoot,0.291139241,0.255524961
313,S.scheelei,standard,shade,below,1.3,0.832909123
314,S.scheelei,standard,shade,above,2.3,1.193922468
315,S.scheelei,standard,shade,total,3.6,1.526056303
316,S.scheelei,standard,shade,root.shoot,0.565217391,0.448024722
317,M.maximus,standard,shade,below,5.2,1.824549292
318,M.maximus,standard,shade,above,6.3,1.987874348
319,M.maximus,standard,shade,total,11.5,2.525728644
320,M.maximus,standard,shade,root.shoot,0.825396825,0.601797402
321,X.texanum,none,shade,below,0.2,0.182321557
322,X.texanum,none,shade,above,0.5,0.405465108
323,X.texanum,none,shade,total,0.7,0.530628251
324,X.texanum,none,shade,root.shoot,0.4,0.336472237
325,C.fasciculata,none,shade,below,1.3,0.832909123
326,C.fasciculata,none,shade,above,7.7,2.163323026
327,C.fasciculata,none,shade,total,9,2.302585093
328,C.fasciculata,none,shade,root.shoot,0.168831169,0.156004249
329,S.scheelei,none,shade,below,0.7,0.530628251
330,S.scheelei,none,shade,above,2.7,1.30833282
