species,chemical,shade,date,week,average,SE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
X.texanum,crude,shade,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,crude,shade,11/12/21,1,3.013333333,0.212716913,5.2,2.1,4,4.4,3.5,3.3,4.2,1.5,1.4,1.6,2.3,5.2,5.2,1,3.8,1.4,2.1,2.6,3.5,4.3,4.4,1.9,3.4,5,3.1,4.6,1.7,3.7,1.5,3.7,4,4.2,1.3,3.8,6,3.5,1.9,3.2,3.9,0.5,0.3,2.1,2.1,2.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,crude,shade,11/12/21,1,0.9375,0.214590557,2.2,1.1,0.4,0.3,0.5,0.9,0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,crude,shade,11/12/21,1,2.691891892,0.12286485,1.6,2.4,1.2,1.6,2.6,2.5,3,2.1,2.6,3.5,3.1,3.5,4.1,1.6,3.3,3.1,3.4,3.1,2.5,3.1,2.9,0.8,3,2.4,3,2.6,2.1,3.1,3,1.1,3.2,2.7,3.3,3.5,3.2,2.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,11/12/21,1,0.666666667,0.130809446,1,0.6,1.1,0.6,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,11/12/21,1,3.226829268,0.184523922,4.2,3.2,1.9,4.1,2,2.7,3.6,4.5,3,4.6,1.6,4.7,5,2.7,4.9,4.7,6,2,4,3.1,3.4,3.4,2.2,1.5,0.8,4.6,3.5,4.4,3.4,1,3.2,3.5,2.6,2.9,2.2,2.2,4,2,3.5,3.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,11/12/21,1,1.157894737,0.136864596,0.6,2,1.1,1,0.4,0.5,1.2,0.9,1.6,2.4,1.8,0.6,0.5,1.5,2.1,0.6,1.1,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,11/12/21,1,2.728125,0.118817627,1.7,3.1,3.1,2.9,1.9,1.5,3.4,3.2,1.6,2.5,1.9,3,1.8,3.1,2.9,3.4,2.9,2.7,3.5,3.6,3.4,3.7,3.1,3.2,1.6,3.2,2.6,2,2.1,2.3,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,11/12/21,1,0.475,0.085391256,0.4,0.3,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,11/12/21,1,4.194871795,0.222425251,2.5,2.6,3.5,3.6,3.4,1.8,3.3,4.7,3.4,3.9,2,5,4,4.8,5.9,5.4,5.2,5.4,5.6,5,4.1,4,4.2,4.5,6.1,8.5,6.2,5.9,4,4.2,5.1,4.8,3.5,2.1,2.2,3.7,3.9,3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
