"","species","chemical","light","height","log.height"
"1","X.texanum","crude","shade",0,0
"2","C.fasciculata","crude","shade",7.5,2.14006616349627
"3","S.scheelei","crude","shade",7.4,2.12823170584927
"4","M.maximus","crude","shade",6,1.94591014905531
"5","X.texanum","standard","shade",0.4,0.336472236621213
"6","C.fasciculata","standard","shade",11.8,2.54944517092557
"7","S.scheelei","standard","shade",4.4,1.68639895357023
"8","M.maximus","standard","shade",2.7,1.30833281965018
"9","X.texanum","none","shade",0.5,0.405465108108164
"10","C.fasciculata","none","shade",12.4,2.59525470695687
"11","S.scheelei","none","shade",3.1,1.41098697371026
"12","M.maximus","none","shade",6.1,1.96009478404727
"13","X.texanum","crude","open",0,0
"14","C.fasciculata","crude","open",7.9,2.18605127673809
"15","S.scheelei","crude","open",2.9,1.3609765531356
"16","M.maximus","crude","open",17.5,2.91777073208428
"17","X.texanum","standard","open",1.7,0.993251773010283
"18","C.fasciculata","standard","open",21.6,3.11794990627824
"19","S.scheelei","standard","open",4.6,1.7227665977411
"20","M.maximus","standard","open",11.1,2.4932054526027
"21","X.texanum","none","open",1.1,0.741937344729377
"22","C.fasciculata","none","open",10.1,2.40694510831829
"23","S.scheelei","none","open",5.4,1.85629799036563
"24","M.maximus","none","open",34.9,3.58073729549423
"25","X.texanum","crude","shade",0,0
"26","C.fasciculata","crude","shade",9.6,2.36085400111802
"27","S.scheelei","crude","shade",8,2.19722457733622
"28","M.maximus","crude","shade",14.1,2.71469474382088
"29","X.texanum","standard","shade",0.8,0.587786664902119
"30","C.fasciculata","standard","shade",7,2.07944154167984
"31","S.scheelei","standard","shade",4.9,1.77495235091167
"32","M.maximus","standard","shade",17.5,2.91777073208428
"33","X.texanum","none","shade",1.7,0.993251773010283
"34","C.fasciculata","none","shade",10.9,2.47653840011748
"35","S.scheelei","none","shade",9.4,2.34180580614733
"36","M.maximus","none","shade",9.1,2.31253542384721
"37","X.texanum","crude","open",0,0
"38","C.fasciculata","crude","open",14.3,2.72785282839839
"39","S.scheelei","crude","open",2,1.09861228866811
