species,chemical,date,week,total,germinated,percent
X.texanum,none,11/3/21,1,96,1,0.010416667
C.fasciculata,none,11/3/21,1,96,11,0.114583333
S.scheelei,none,11/3/21,1,96,2,0.020833333
M.maximus,none,11/3/21,1,96,21,0.21875
X.texanum,solvent,11/3/21,1,96,0,0
C.fasciculata,solvent,11/3/21,1,96,1,0.010416667
S.scheelei,solvent,11/3/21,1,96,0,0
M.maximus,solvent,11/3/21,1,96,1,0.010416667
X.texanum,methanol,11/11/21,1,42,0,0
C.fasciculata,methanol,11/11/21,1,42,0,0
S.scheelei,methanol,11/11/21,1,42,0,0
M.maximus,methanol,11/11/21,1,42,0,0
X.texanum,none,11/11/21,2,96,4,0.041666667
C.fasciculata,none,11/11/21,2,96,36,0.375
S.scheelei,none,11/11/21,2,96,25,0.260416667
M.maximus,none,11/11/21,2,96,78,0.8125
X.texanum,solvent,11/11/21,2,96,0,0
C.fasciculata,solvent,11/11/21,2,96,0,0
S.scheelei,solvent,11/11/21,2,96,0,0
M.maximus,solvent,11/11/21,2,96,0,0
X.texanum,methanol,11/19/21,2,42,4,0.095238095
C.fasciculata,methanol,11/19/21,2,42,36,0.857142857
S.scheelei,methanol,11/19/21,2,42,12,0.285714286
M.maximus,methanol,11/19/21,2,42,22,0.523809524
X.texanum,none,11/26/21,4,96,22,0.229166667
C.fasciculata,none,11/26/21,4,96,45,0.46875
S.scheelei,none,11/26/21,4,96,53,0.552083333
M.maximus,none,11/26/21,4,96,80,0.833333333
X.texanum,solvent,11/26/21,4,96,0,0
C.fasciculata,solvent,11/26/21,4,96,1,0.010416667
S.scheelei,solvent,11/26/21,4,96,0,0
M.maximus,solvent,11/26/21,4,96,0,0
X.texanum,methanol,12/3/21,4,42,16,0.380952381
C.fasciculata,methanol,12/3/21,4,42,36,0.857142857
S.scheelei,methanol,12/3/21,4,42,33,0.785714286
M.maximus,methanol,12/3/21,4,42,26,0.619047619
