entry ,species,chemical,light,week,result
1,X.texanum,none,shade,0,0
2,C.fasciculata,none,shade,0,0
3,S.scheelei,none,shade,0,0
4,M.maximus,none,shade,0,0
5,X.texanum,crude,shade,0,0
6,C.fasciculata,crude,shade,0,0
7,S.scheelei,crude,shade,0,0
8,M.maximus,crude,shade,0,0
9,X.texanum,standard,shade,0,0
10,C.fasciculata,standard,shade,0,0
11,S.scheelei,standard,shade,0,0
12,M.maximus,standard,shade,0,0
13,X.texanum,none,open,0,0
14,C.fasciculata,none,open,0,0
15,S.scheelei,none,open,0,0
16,M.maximus,none,open,0,0
17,X.texanum,crude,open,0,0
18,C.fasciculata,crude,open,0,0
19,S.scheelei,crude,open,0,0
20,M.maximus,crude,open,0,0
21,X.texanum,standard,open,0,0
22,C.fasciculata,standard,open,0,0
23,S.scheelei,standard,open,0,0
24,M.maximus,standard,open,0,0
25,X.texanum,none,shade,1,0
26,C.fasciculata,none,shade,1,1
27,S.scheelei,none,shade,1,0
28,M.maximus,none,shade,1,1
29,X.texanum,crude,shade,1,0
30,C.fasciculata,crude,shade,1,1
31,S.scheelei,crude,shade,1,0
32,M.maximus,crude,shade,1,1
33,X.texanum,standard,shade,1,0
34,C.fasciculata,standard,shade,1,1
35,S.scheelei,standard,shade,1,1
36,M.maximus,standard,shade,1,1
37,X.texanum,none,open,1,1
38,C.fasciculata,none,open,1,1
39,S.scheelei,none,open,1,1
40,M.maximus,none,open,1,1
41,X.texanum,crude,open,1,0
42,C.fasciculata,crude,open,1,1
43,S.scheelei,crude,open,1,1
44,M.maximus,crude,open,1,1
45,X.texanum,standard,open,1,0
46,C.fasciculata,standard,open,1,1
47,S.scheelei,standard,open,1,1
48,M.maximus,standard,open,1,1
49,X.texanum,crude,shade,2,0
50,C.fasciculata,crude,shade,2,1
51,S.scheelei,crude,shade,2,1
52,M.maximus,crude,shade,2,1
53,X.texanum,standard,shade,2,1
54,C.fasciculata,standard,shade,2,1
55,S.scheelei,standard,shade,2,1
56,M.maximus,standard,shade,2,1
57,X.texanum,none,shade,2,1
58,C.fasciculata,none,shade,2,1
59,S.scheelei,none,shade,2,1
60,M.maximus,none,shade,2,1
61,X.texanum,crude,open,2,0
62,C.fasciculata,crude,open,2,1
63,S.scheelei,crude,open,2,1
64,M.maximus,crude,open,2,1
65,X.texanum,standard,open,2,1
66,C.fasciculata,standard,open,2,1
67,S.scheelei,standard,open,2,1
68,M.maximus,standard,open,2,1
69,X.texanum,none,open,2,1
70,C.fasciculata,none,open,2,1
